unitid,institution name,year,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Historically Black College or University,DRVC2019.Associate's degree,DRVC2019.Bachelor's degree,DRVC2019.Master's degree,DRVC2019.Doctor's degree - research/scholarship,DRVC2019.Doctor's degree - professional practice,DRVC2019.Doctor's degree - other,DRVC2019.Certificates of less than 1-year,DRVC2019.Certificates of 1 but less than 2-years,DRVC2019.Certificates of 2 but less than 4-years,DRVC2019.Postbaccalaureate certificates,DRVC2019.Post-master's certificates,DRVC2019.Number of students receiving an Associate's degree,DRVC2019.Number of students receiving a Bachelor's degree,DRVC2019.Number of students receiving a Master's degree,DRVC2019.Number of students receiving a Doctor's degree,DRVC2019.Number of students receiving a certificate of less than 1-year,DRVC2019.Number of students receiving a certificate of 1 but less than 4-years,DRVC2019.Number of students receiving a Postbaccalaureate or Post-master's certificate
461847,Keser Torah-Mayan Hatalmud,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
233019,Patrick Henry Community College,2019,Virginia,"Public, 2-year",No,344,,,,,,163,309,0,,,343,,,,141,309,
237905,West Virginia University Hospital Departments of Rad Tech and Nutrition,2019,West Virginia,"Private not-for-profit, 4-year or above",No,0,0,0,0,0,0,0,12,16,7,0,0,0,0,0,0,28,7
201195,Baldwin Wallace University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,793,285,0,0,0,9,0,0,0,1,0,783,285,0,9,0,1
417831,Union County Vocational Technical School,2019,New Jersey,"Public, less-than 2-year",No,0,,,,,,0,64,0,,,0,,,,0,64,
204714,Ohio State Beauty Academy,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,0,14,28,,,0,,,,0,42,
482653,DeVry University-Virginia,2019,Virginia,"Private for-profit, 4-year or above",No,3,47,87,0,0,0,0,0,0,1,0,3,47,85,0,0,0,1
491817,Seminary Bnos Chaim,2019,New Jersey,"Private not-for-profit, 2-year",No,0,,,,,,0,102,0,,,0,,,,0,102,
443678,Empire Beauty School-Framingham,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,35,0,,,0,,,,0,35,
182795,Franklin Pierce University,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,13,340,124,0,87,0,0,4,0,1,0,13,340,124,87,0,4,1
204264,Muskingum University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,331,93,0,0,0,0,0,0,0,0,0,331,93,0,0,0,0
450599,Empire Beauty School-Richmond,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,26,0,,,0,,,,0,26,
490869,American Institute-Somerset,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,29,43,0,,,0,,,,29,43,
185679,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing,2019,New Jersey,"Private not-for-profit, 2-year",No,0,,,,,,0,0,125,,,0,,,,0,110,
407425,Capri Institute of Hair Design-Paramus,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,44,28,0,,,0,,,,44,28,
364636,Portage Lakes Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,19,55,0,,,0,,,,19,55,
237330,Concord University,2019,West Virginia,"Public, 4-year or above",No,0,364,108,0,0,0,0,0,0,0,3,0,364,108,0,0,0,3
201104,Ashland University,2019,Ohio,"Private not-for-profit, 4-year or above",No,230,700,677,5,23,0,0,0,0,0,0,230,691,676,28,0,0,0
164447,American International College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,282,568,13,36,0,0,0,0,0,87,0,282,568,49,0,0,87
232043,Eastern Mennonite University,2019,Virginia,"Private not-for-profit, 4-year or above",No,4,331,126,0,0,0,0,0,0,26,0,4,331,123,0,0,0,26
184348,Drew University,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,345,70,15,21,8,0,0,0,2,0,0,345,70,44,0,0,2
130314,University of Saint Joseph,2019,Connecticut,"Private not-for-profit, 4-year or above",No,0,201,522,0,84,0,2,0,0,43,8,0,201,522,84,2,0,51
217581,Empire Beauty School-Warwick,2019,Rhode Island,"Private for-profit, less-than 2-year",No,0,,,,,,18,41,0,,,0,,,,18,41,
204635,Ohio Northern University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,389,33,0,186,0,0,0,0,2,0,0,389,33,186,0,0,2
164678,Bay State School of Technology,2019,Massachusetts,"Private for-profit, less-than 2-year",No,,,,,,,,,,,,,,,,,,
230913,Northern Vermont University,2019,Vermont,"Public, 4-year or above",No,44,411,46,0,0,0,0,5,0,0,0,44,411,46,0,0,5,0
233295,Randolph-Macon College,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,332,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0
161873,University of Baltimore,2019,Maryland,"Public, 4-year or above",No,0,615,436,5,198,0,0,0,33,52,2,0,615,436,203,0,33,52
202514,Defiance College,2019,Ohio,"Private not-for-profit, 4-year or above",No,5,130,11,0,0,0,0,0,0,0,0,5,130,11,0,0,0,0
129543,Housatonic Community College,2019,Connecticut,"Public, 2-year",No,465,,,,,,112,54,0,,,463,,,,110,54,
456001,Advanced Welding Institute,2019,Vermont,"Private for-profit, less-than 2-year",No,0,,,,,,9,51,0,,,0,,,,9,51,
488749,Paul Mitchell the School-Jessup,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,83,0,,,0,,,,0,83,
487861,Felbry College School of Nursing,2019,Ohio,"Private for-profit, 2-year",No,3,,,,,,0,72,0,,,3,,,,0,72,
186900,Talmudical Academy-New Jersey,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
187000,Teterboro School of Aeronautics,2019,New Jersey,"Private for-profit, 2-year",No,0,,,,,,0,0,119,,,0,,,,0,119,
201177,Aultman College of Nursing and Health Sciences,2019,Ohio,"Private not-for-profit, 4-year or above",No,79,17,0,0,0,0,0,0,0,0,0,79,17,0,0,0,0,0
167224,New England School of Photography,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,19,0,,,0,,,,0,19,
167899,Springfield College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,480,344,4,44,0,0,0,0,0,1,0,480,344,48,0,0,1
