unitid,institution name,year,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Historically Black College or University,DRVC2019.Associate's degree,DRVC2019.Bachelor's degree,DRVC2019.Master's degree,DRVC2019.Doctor's degree - research/scholarship,DRVC2019.Doctor's degree - professional practice,DRVC2019.Doctor's degree - other,DRVC2019.Certificates of less than 1-year,DRVC2019.Certificates of 1 but less than 2-years,DRVC2019.Certificates of 2 but less than 4-years,DRVC2019.Postbaccalaureate certificates,DRVC2019.Post-master's certificates,DRVC2019.Number of students receiving an Associate's degree,DRVC2019.Number of students receiving a Bachelor's degree,DRVC2019.Number of students receiving a Master's degree,DRVC2019.Number of students receiving a Doctor's degree,DRVC2019.Number of students receiving a certificate of less than 1-year,DRVC2019.Number of students receiving a certificate of 1 but less than 4-years,DRVC2019.Number of students receiving a Postbaccalaureate or Post-master's certificate
185590,Montclair State University,2019,New Jersey,"Public, 4-year or above",No,0,4013,1263,26,11,0,0,75,0,193,0,0,3981,1263,37,0,75,192
455017,Frederick School of Cosmetology,2019,Maryland,"Private for-profit, less-than 2-year",No,,,,,,,,,,,,,,,,,,
186432,Saint Peter's University,2019,New Jersey,"Private not-for-profit, 4-year or above",No,5,535,318,10,0,0,0,0,0,0,0,5,535,315,10,0,0,0
187444,William Paterson University of New Jersey,2019,New Jersey,"Public, 4-year or above",No,0,1785,394,0,4,0,0,0,0,32,0,0,1785,394,4,0,0,32
163815,Maryland Beauty Academy of Essex,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,8,32,0,,,0,,,,8,32,
165945,Gordon-Conwell Theological Seminary,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,335,0,0,50,0,0,0,1,0,0,0,315,50,0,0,1
233666,Staunton School of Cosmetology,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,14,0,,,0,,,,0,14,
377485,Virginia Beach City Public Schools School of Practical Nursing,2019,Virginia,"Public, less-than 2-year",No,0,,,,,,0,12,0,,,0,,,,0,12,
130004,Norwalk Community College,2019,Connecticut,"Public, 2-year",No,626,,,,,,53,0,0,,,626,,,,53,0,
162584,Frostburg State University,2019,Maryland,"Public, 4-year or above",No,0,1078,208,7,0,0,0,0,0,0,0,0,1077,208,7,0,0,0
486257,Valor Christian College,2019,Ohio,"Private not-for-profit, 2-year",No,80,,,,,,0,2,0,,,80,,,,0,2,
167394,College of Our Lady of the Elms,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,17,384,113,0,20,0,0,0,0,45,4,17,384,113,20,0,0,49
463056,University of Connecticut-Hartford Campus,2019,Connecticut,"Public, 4-year or above",No,0,113,39,7,8,0,0,0,0,7,1,0,110,39,15,0,0,8
232450,John Tyler Community College,2019,Virginia,"Public, 2-year",No,971,,,,,,414,469,0,,,969,,,,384,468,
247649,Landmark College,2019,Vermont,"Private not-for-profit, 4-year or above",No,72,32,0,0,0,0,0,0,0,1,0,72,32,0,0,0,0,1
129002,Porter and Chester Institute of Hamden,2019,Connecticut,"Private for-profit, less-than 2-year",No,0,,,,,,0,157,0,,,0,,,,0,157,
232414,J Sargeant Reynolds Community College,2019,Virginia,"Public, 2-year",No,928,,,,,,247,233,0,,,913,,,,234,233,
232566,Longwood University,2019,Virginia,"Public, 4-year or above",No,0,977,128,0,0,0,0,0,0,0,0,0,977,128,0,0,0,0
407470,Empire Beauty School-Cincinnati,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,63,0,,,0,,,,0,63,
182892,Keene Beauty Academy,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,7,13,0,,,0,,,,7,13,
129534,Holy Apostles College and Seminary,2019,Connecticut,"Private not-for-profit, 4-year or above",No,7,21,83,0,0,0,0,0,0,4,3,7,21,83,0,0,0,7
421717,Vanguard-Sentinel Adult Career and Technology Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,0,22,0,,,0,,,,0,22,
232724,Sovah School of Health Professions,2019,Virginia,"Private for-profit, 2-year",No,11,,,,,,0,0,0,,,11,,,,0,0,
452373,ATA College - Cincinnati,2019,Ohio,"Private for-profit, 2-year",No,40,,,,,,0,69,0,,,40,,,,0,69,
130226,Quinnipiac University,2019,Connecticut,"Private not-for-profit, 4-year or above",No,0,1849,844,0,311,0,0,0,0,29,30,0,1849,844,311,0,0,59
405012,Ohio State School of Cosmetology-Heath,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,6,11,15,,,0,,,,6,26,
480930,Paul Mitchell the School-Woodbridge,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,56,0,,,0,,,,0,56,
436827,University of Connecticut-Avery Point,2019,Connecticut,"Public, 4-year or above",No,0,57,19,4,4,0,0,0,0,4,1,0,55,19,7,0,0,4
487977,Martinsburg College,2019,West Virginia,"Private for-profit, 2-year",No,8,,,,,,767,8,0,,,8,,,,767,8,
237552,Meredith Manor International Equestrian Center,2019,West Virginia,"Private for-profit, 2-year",No,0,,,,,,6,11,14,,,0,,,,6,25,
418223,Northern Career Institute,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,0,90,0,,,0,,,,0,90,
130606,Tunxis Community College,2019,Connecticut,"Public, 2-year",No,444,,,,,,225,26,0,,,434,,,,208,26,
237783,Salem University,2019,West Virginia,"Private for-profit, 4-year or above",No,144,124,119,0,0,0,0,0,0,0,44,144,124,119,0,0,0,44
482103,Finger Lakes School of Massage,2019,Maryland,"Private for-profit, less-than 2-year",No,,,,,,,,,,,,,,,,,,
182670,Dartmouth College,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,0,1055,665,100,100,0,0,0,0,0,0,0,1055,665,200,0,0,0
231828,Bryant & Stratton College-Richmond,2019,Virginia,"Private for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
450058,Fortis College-Columbus,2019,Ohio,"Private for-profit, 2-year",No,113,,,,,,0,236,0,,,113,,,,0,236,
186593,Atlantic Beauty & Spa Academy LLC,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,20,51,0,,,0,,,,20,51,
446394,Maple Springs Baptist Bible College and Seminary,2019,Maryland,"Private not-for-profit, 4-year or above",No,1,4,4,0,0,0,0,2,0,0,0,1,4,4,0,0,2,0
206048,Tiffin University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,469,362,0,0,0,0,0,0,0,0,0,469,362,0,0,0,0
480994,Aspen Beauty Academy of Laurel,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,19,0,,,0,,,,0,19,
461412,Northern Virginia School of Therapeutic Massage,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,109,0,0,,,0,,,,109,0,
238096,Wood County School of Practical Nursing,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,0,20,0,,,0,,,,0,20,
204680,Ohio State University-Mansfield Campus,2019,Ohio,"Public, 4-year or above",No,101,69,0,0,0,0,0,0,0,0,0,101,69,0,0,0,0,0
447582,New River Community and Technical College,2019,West Virginia,"Public, 2-year",No,141,,,,,,0,113,0,,,132,,,,0,112,
130183,Post University,2019,Connecticut,"Private for-profit, 4-year or above",No,283,1021,288,0,0,0,70,63,0,60,0,280,999,287,0,70,63,59
427973,Aviation Institute of Maintenance-Chesapeake,2019,Virginia,"Private for-profit, 2-year",No,0,,,,,,0,0,90,,,0,,,,0,90,
233356,Bon Secours Memorial College of Nursing,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,148,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0
444954,Mountwest Community and Technical College,2019,West Virginia,"Public, 2-year",No,380,,,,,,0,740,0,,,372,,,,0,716,
165255,Catherine Hinds Institute of Esthetics,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,122,82,0,,,0,,,,122,82,
476601,Bais HaMedrash and Mesivta of Baltimore,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
494232,The Salon Professional Academy-Washington DC,2019,District of Columbia,"Private for-profit, less-than 2-year",No,0,,,,,,8,17,0,,,0,,,,8,17,
186034,Passaic County Community College,2019,New Jersey,"Public, 2-year",No,734,,,,,,452,225,0,,,733,,,,389,200,
455813,Pontifical John Paul II Institute for Studies on Marriage and Family,2019,District of Columbia,"Private not-for-profit, 4-year or above",No,0,0,13,5,0,0,0,0,0,0,3,0,0,12,5,0,0,3
206507,Wilmington College,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,292,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0
163259,"University of Maryland, Baltimore",2019,Maryland,"Public, 4-year or above",No,0,438,894,73,825,0,0,0,0,123,22,0,438,893,898,0,0,138
456621,Strayer University-West Virginia,2019,West Virginia,"Private for-profit, 4-year or above",No,6,16,9,0,0,0,0,0,0,0,0,6,16,9,0,0,0,0
183239,Saint Anselm College,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,0,430,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0
165334,Clark University,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,554,410,25,0,0,0,0,0,0,1,0,553,410,25,0,0,1
202152,Columbiana County Career and Technical Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,8,123,0,,,0,,,,8,123,
201016,Antonelli College-Cincinnati,2019,Ohio,"Private for-profit, 2-year",No,18,,,,,,0,27,0,,,18,,,,0,27,
206288,United Theological Seminary,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,0,47,0,31,0,0,0,0,4,0,0,0,47,31,0,0,4
162779,Howard Community College,2019,Maryland,"Public, 2-year",No,1331,,,,,,63,33,0,,,1229,,,,63,33,
459408,Tri County Regional Vocational Technical High School,2019,Massachusetts,"Public, less-than 2-year",No,0,,,,,,0,51,0,,,0,,,,0,51,
205559,Hussian College-Daymar College Columbus,2019,Ohio,"Private for-profit, 2-year",No,13,,,,,,0,27,0,,,13,,,,0,27,
491622,Yeshiva Chemdas Hatorah,2019,New Jersey,"Private not-for-profit, 4-year or above",No,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
186584,Seton Hall University,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,1375,995,84,215,0,0,0,0,0,82,0,1375,988,299,0,0,82
490382,Harmony Health Care Institute,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,0,48,0,,,0,,,,0,48,
206613,Wright State University-Lake Campus,2019,Ohio,"Public, 4-year or above",No,36,136,0,0,0,0,1,0,0,0,0,36,136,0,0,1,0,0
375416,Remington College-Cleveland Campus,2019,Ohio,"Private not-for-profit, 2-year",No,59,,,,,,68,191,0,,,59,,,,68,191,
447403,Universal Technical Institute of Massachusetts Inc,2019,Massachusetts,"Private for-profit, 2-year",No,0,,,,,,0,0,242,,,0,,,,0,242,
458496,The Art Institute of Virginia Beach,2019,Virginia,"Private for-profit, 4-year or above",No,21,82,0,0,0,0,0,3,0,0,0,21,82,0,0,0,3,0
421878,Eastern International College-Jersey City,2019,New Jersey,"Private for-profit, 4-year or above",No,73,10,0,0,0,0,0,0,0,0,0,73,10,0,0,0,0,0
129729,Naugatuck Valley Community College,2019,Connecticut,"Public, 2-year",No,726,,,,,,431,41,0,,,696,,,,336,41,
185174,Joe Kubert School of Cartoon and Graphic Art,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,0,86,0,,,0,,,,0,86,
363721,University of the District of Columbia-David A Clarke School of Law,2019,District of Columbia,"Public, 4-year or above",No,0,0,0,0,65,0,0,0,0,0,0,0,0,0,65,0,0,0
230995,Norwich University,2019,Vermont,"Private not-for-profit, 4-year or above",No,0,694,485,0,0,0,0,0,0,37,0,0,693,485,0,0,0,37
201140,Athenaeum of Ohio,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,0,39,0,0,0,9,0,0,0,0,0,0,30,0,9,0,0
167251,Newbury College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
481438,Yeshiva Yesodei Hatorah,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
201645,Case Western Reserve University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,1157,1682,207,460,0,0,0,0,15,15,0,1112,1658,667,0,0,30
165194,Cape Cod Community College,2019,Massachusetts,"Public, 2-year",No,411,,,,,,107,0,0,,,409,,,,107,0,
162007,Bowie State University,2019,Maryland,"Public, 4-year or above",Yes,0,826,252,7,0,0,0,0,0,19,15,0,826,252,7,0,0,34
217484,University of Rhode Island,2019,Rhode Island,"Public, 4-year or above",No,0,3471,599,106,110,37,10,0,0,100,0,0,3203,595,253,10,0,95
185767,Robert Fiance Beauty Schools-West New York,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,119,129,0,,,0,,,,119,129,
204981,Cuyahoga Valley Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,80,58,0,,,0,,,,80,58,
457615,Blackstone Valley Vocational Regional School District,2019,Massachusetts,"Public, less-than 2-year",No,0,,,,,,0,19,0,,,0,,,,0,19,
167093,New England College of Optometry,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,3,0,121,0,0,0,0,0,0,0,0,3,121,0,0,0
448257,Avi Career Training,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,29,8,0,,,0,,,,29,8,
417275,Stratford School for Aviation Maintenance Technicians,2019,Connecticut,"Public, 2-year",No,0,,,,,,0,0,7,,,0,,,,0,7,
185536,Middlesex County College,2019,New Jersey,"Public, 2-year",No,1437,,,,,,12,16,0,,,1412,,,,12,16,
488350,Yeshiva Gedolah Shaarei Shmuel,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
206622,Xavier University,2019,Ohio,"Private not-for-profit, 4-year or above",No,11,1124,758,0,16,0,2,0,0,0,7,11,1106,751,16,2,0,7
184694,Fairleigh Dickinson University-Florham Campus,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,573,294,0,76,0,0,0,0,0,0,0,571,293,76,0,0,0
233286,Sylvain Melloul International Hair Academy,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,10,50,0,,,0,,,,10,50,
129695,Manchester Community College,2019,Connecticut,"Public, 2-year",No,708,,,,,,152,11,0,,,692,,,,147,11,
384421,Rabbi Jacob Joseph School,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
231785,Bryant & Stratton College-Virginia Beach,2019,Virginia,"Private for-profit, 4-year or above",No,277,41,0,0,0,0,0,48,0,0,0,277,41,0,0,0,48,0
167631,Roxbury Community College,2019,Massachusetts,"Public, 2-year",No,266,,,,,,6,11,0,,,266,,,,6,11,
182652,Continental Academie of Hair Design-Hudson,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,0,33,0,,,0,,,,0,33,
443225,PC AGE-Metropark,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,0,91,0,,,0,,,,0,91,
476568,Tomorrow's Image Barber And Beauty Academy of Virginia,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,21,0,,,0,,,,0,21,
475699,Bryant & Stratton College-Akron,2019,Ohio,"Private for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
442073,Lincoln Technical Institute-Paramus,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,15,312,0,,,0,,,,15,312,
484932,BridgeValley Community & Technical College,2019,West Virginia,"Public, 2-year",No,393,,,,,,0,69,0,,,369,,,,0,66,
439455,MDT College of Health Sciences,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,115,0,,,0,,,,0,115,
167297,North Bennet Street School,2019,Massachusetts,"Private not-for-profit, 2-year",No,0,,,,,,0,44,38,,,0,,,,0,82,
427982,Centura College-Richmond Main,2019,Virginia,"Private for-profit, 2-year",No,22,,,,,,14,36,0,,,22,,,,14,36,
163295,Maryland Institute College of Art,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,393,213,0,0,0,0,0,0,2,0,0,393,213,0,0,0,2
232788,Mountain Empire Community College,2019,Virginia,"Public, 2-year",No,264,,,,,,291,130,0,,,246,,,,264,130,
161235,University of Maine at Fort Kent,2019,Maine,"Public, 4-year or above",No,16,241,0,0,0,0,0,0,0,0,0,16,240,0,0,0,0,0
204158,Miami Valley Career Technology Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,70,109,0,,,0,,,,70,109,
205124,Rabbinical College Telshe,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,6,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0
441982,Franklin W Olin College of Engineering,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,78,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0
461999,Elite School of Cosmetology,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,11,13,12,,,0,,,,11,25,
161563,Thomas College,2019,Maine,"Private not-for-profit, 4-year or above",No,5,183,53,0,0,0,0,0,0,0,0,5,183,53,0,0,0,0
167215,New England Law-Boston,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,0,0,146,0,0,0,0,0,0,0,0,0,146,0,0,0
161688,Allegany College of Maryland,2019,Maryland,"Public, 2-year",No,489,,,,,,39,58,0,,,445,,,,34,57,
483647,Ohio Institute of Allied Health,2019,Ohio,"Private not-for-profit, less-than 2-year",No,0,,,,,,15,50,0,,,0,,,,15,50,
233949,Virginia Western Community College,2019,Virginia,"Public, 2-year",No,703,,,,,,390,117,0,,,701,,,,344,117,
202134,Cleveland State University,2019,Ohio,"Public, 4-year or above",No,0,2742,1235,47,128,0,0,0,0,0,13,0,2685,1235,175,0,0,13
184278,Divers Academy International,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,48,0,0,,,0,,,,48,0,
486202,Mingo Extended Learning Center,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,15,19,0,,,0,,,,4,19,
163338,University of Maryland Eastern Shore,2019,Maryland,"Public, 4-year or above",Yes,0,508,53,24,91,0,0,0,0,0,0,0,508,53,115,0,0,0
407513,Pickaway Ross Joint Vocational School District,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,139,92,0,,,0,,,,139,92,
183105,White Mountains Community College,2019,New Hampshire,"Public, 2-year",No,116,,,,,,63,67,0,,,115,,,,63,67,
185758,New Brunswick Theological Seminary,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,0,25,8,0,0,0,0,0,0,0,0,0,25,8,0,0,0
487852,American Institute of Alternative Medicine,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,20,0,0,,,0,,,,20,0,
485607,Dolce LLC The Academy,2019,Connecticut,"Private for-profit, less-than 2-year",No,0,,,,,,0,18,0,,,0,,,,0,18,
165671,Emmanuel College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,466,58,0,0,0,0,0,0,6,0,0,466,58,0,0,0,6
186618,College of Saint Elizabeth,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,171,100,16,0,0,0,0,0,42,0,0,171,100,16,0,0,42
187198,Union County College,2019,New Jersey,"Public, 2-year",No,1623,,,,,,15,59,0,,,1623,,,,15,59,
249140,Branford Hall Career Institute-Jersey City,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,0,126,0,,,0,,,,0,126,
493497,Kenny's Beauty Academy,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,1,0,0,,,0,,,,1,0,
162122,College of Southern Maryland,2019,Maryland,"Public, 2-year",No,1116,,,,,,126,572,0,,,1002,,,,120,562,
186867,Stevens Institute of Technology,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,766,1624,53,0,0,0,0,0,520,0,0,760,1624,53,0,0,458
437769,Chester Career College,2019,Virginia,"Private for-profit, 2-year",No,25,,,,,,31,23,0,,,25,,,,31,23,
449700,Dayton School of Medical Massage,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,249,0,,,0,,,,0,249,
166407,Lawrence Memorial Hospital School of Nursing,2019,Massachusetts,"Private not-for-profit, 2-year",No,114,,,,,,0,0,0,,,114,,,,0,0,
434520,Branford Hall Career Institute-Southington Campus,2019,Connecticut,"Private for-profit, less-than 2-year",No,0,,,,,,1,133,0,,,0,,,,1,133,
493895,SANS Technology Institute,2019,Maryland,"Private for-profit, 4-year or above",No,0,0,25,0,0,0,0,0,0,80,0,0,0,25,0,0,0,80
164085,Maryland University of Integrative Health,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,0,299,0,37,0,0,0,0,68,9,0,0,299,37,0,0,77
431716,Ocean County Vocational-Technical School,2019,New Jersey,"Public, less-than 2-year",No,0,,,,,,0,244,0,,,0,,,,0,244,
231882,Danville Community College,2019,Virginia,"Public, 2-year",No,230,,,,,,289,120,91,,,225,,,,240,197,
204024,Miami University-Oxford,2019,Ohio,"Public, 4-year or above",No,0,4321,884,63,0,0,0,92,0,48,0,0,4110,884,63,0,92,46
164535,Assabet Valley Regional Technical School,2019,Massachusetts,"Public, less-than 2-year",No,0,,,,,,0,43,0,,,0,,,,0,43,
475431,ASI Career Institute,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,173,0,0,,,0,,,,173,0,
206516,Winebrenner Theological Seminary,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
478661,Jolie Hair and Beauty Academy-Northfield,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,28,67,0,,,0,,,,28,67,
161767,Anne Arundel Community College,2019,Maryland,"Public, 2-year",No,1785,,,,,,416,250,0,,,1719,,,,374,249,
440411,Marlboro College Graduate & Professional Studies,2019,Vermont,"Private not-for-profit, 4-year or above",No,0,0,27,0,0,0,0,0,0,1,0,0,0,27,0,0,0,1
382957,Fortis College-Richmond,2019,Virginia,"Private for-profit, 2-year",No,28,,,,,,15,159,0,,,28,,,,15,159,
233684,Strayer University-Virginia,2019,Virginia,"Private for-profit, 4-year or above",No,201,761,626,0,0,0,0,1,0,1,0,201,761,624,0,0,1,1
201131,Ashtabula County Technical and Career Campus,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,44,46,0,,,0,,,,44,46,
486956,Chamberlain University-New Jersey,2019,New Jersey,"Private for-profit, 4-year or above",No,0,199,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0
419031,United Technical Center,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,0,24,0,,,0,,,,0,24,
183035,New Hampshire Institute for Therapeutic Arts,2019,New Hampshire,"Private for-profit, less-than 2-year",No,0,,,,,,24,0,0,,,0,,,,24,0,
217536,Salve Regina University,2019,Rhode Island,"Private not-for-profit, 4-year or above",No,0,475,246,12,2,0,0,0,0,88,38,0,474,245,14,0,0,112
166133,Holyoke Community College,2019,Massachusetts,"Public, 2-year",No,768,,,,,,96,22,0,,,764,,,,96,22,
237598,Mountain State College,2019,West Virginia,"Private for-profit, 2-year",No,11,,,,,,0,0,0,,,11,,,,0,0,
476692,Yeshiva Gedolah Zichron Leyma,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
204200,Mount Saint Joseph University,2019,Ohio,"Private not-for-profit, 4-year or above",No,1,269,208,0,54,0,1,0,0,6,0,1,269,208,54,1,0,6
205966,Southern State Community College,2019,Ohio,"Public, 2-year",No,270,,,,,,17,28,0,,,269,,,,17,28,
414063,Artistic Academy of Hair Design,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,43,73,0,,,0,,,,43,73,
373784,All-State Career-Baltimore,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,283,144,0,,,0,,,,283,144,
369002,Massachusetts School of Law,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0
161554,University of Southern Maine,2019,Maine,"Public, 4-year or above",No,0,1075,421,10,77,0,28,0,0,61,15,0,1069,419,87,28,0,76
455275,Aveda Institute-Columbus,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,112,83,0,,,0,,,,112,83,
166911,Montserrat College of Art,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,66,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
427894,CET-Alexandria,2019,Virginia,"Private not-for-profit, less-than 2-year",No,0,,,,,,70,14,0,,,0,,,,70,14,
449834,Virginia Beach Theological Seminary,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
204963,Paramount Beauty Academy,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,4,3,8,,,0,,,,4,11,
185873,Ocean County College,2019,New Jersey,"Public, 2-year",No,1486,,,,,,13,10,0,,,1484,,,,13,9,
203492,Kent State University at Salem,2019,Ohio,"Public, 4-year or above",No,144,41,0,0,0,0,3,0,0,0,0,144,41,0,0,3,0,0
452780,Dental Assistant Pro-Lebanon,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,34,0,0,,,0,,,,34,0,
204990,Payne Theological Seminary,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,0,22,0,0,24,0,0,0,0,0,0,0,22,24,0,0,0
165820,Fitchburg State University,2019,Massachusetts,"Public, 4-year or above",No,0,783,684,0,0,0,0,0,0,16,22,0,779,684,0,0,0,38
184092,American Institute-Clifton,2019,New Jersey,"Private for-profit, 2-year",No,0,,,,,,88,207,18,,,0,,,,88,225,
131496,Georgetown University,2019,District of Columbia,"Private not-for-profit, 4-year or above",No,0,1752,4091,123,845,0,0,10,0,2,0,0,1752,4080,968,0,10,2
163408,Montgomery Beauty School,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,46,0,,,0,,,,0,46,
163028,Lincoln College of Technology-Columbia,2019,Maryland,"Private for-profit, 2-year",No,25,,,,,,0,333,0,,,25,,,,0,333,
377643,Huntington School of Beauty Culture,2019,West Virginia,"Private for-profit, 2-year",No,0,,,,,,16,15,14,,,0,,,,16,29,
455804,Institute of World Politics,2019,District of Columbia,"Private not-for-profit, 4-year or above",No,0,0,47,0,0,0,0,0,0,11,0,0,0,47,0,0,0,11
184959,Eastwick College-Ramsey,2019,New Jersey,"Private for-profit, 4-year or above",No,264,17,0,0,0,0,18,5,0,0,0,264,17,0,0,18,5,0
128744,University of Bridgeport,2019,Connecticut,"Private not-for-profit, 4-year or above",No,66,602,642,19,61,0,1,0,0,1,58,66,602,642,80,1,0,59
183211,Rivier University,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,43,295,255,3,7,0,0,0,0,0,12,43,295,255,10,0,0,12
203386,Hondros College of Nursing,2019,Ohio,"Private for-profit, 4-year or above",No,393,27,0,0,0,0,0,537,0,0,0,393,27,0,0,0,537,0
390905,Polaris Career Center,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,153,48,0,,,0,,,,153,48,
480310,Empire Beauty School-Glen Burnie,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,34,0,,,0,,,,0,34,
430810,New Hampshire Institute of Art,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
201690,Central State University,2019,Ohio,"Public, 4-year or above",Yes,0,185,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0
129020,University of Connecticut,2019,Connecticut,"Public, 4-year or above",No,16,5372,1852,345,366,0,0,0,0,350,50,16,5204,1843,712,0,0,396
233277,Radford University,2019,Virginia,"Public, 4-year or above",No,0,1843,309,0,37,3,30,0,0,19,6,0,1831,309,40,30,0,25
